BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
ruhiq,,duri,thorn,n,,,,
ruhukng,,guntur,thunder,n,hajang was genoh ruhukng uhikng nyi,besar sekali suara guntur sore tadi,the thunder was very loud this afternoon,
ruhukng lete,,hujan dan lebat bersama guntur dan petir ,heavy rain with thunder and lightning,n,,,,
rujek,,mengulek,"to pound, grind (usually using a mortar and pestle)",v,,,,
rujukng,,pondok sementara,"temporary hut, shelter",n,,,,
rukapm,,pohon yang berduri berbuah warna merah; rukan,a thorny tree with red fruit; rukan,n,,,,
rumpak,,tabrak,"hit, crash into, collide",v,,,,
rumukng,,rambutan,rambutan,n,,,,
runan,,plek hitam pada kulit muka,"black spot on the facial skin, mole, dark patch",n,,,,
rungatn,,ikan yang menyerupai ikan jelawat tapi sisiknya memiliki belang ditengah badan,a fish resembling jelawat but with a stripe in the middle of its body,n,,,,
runukng,,kebun buah-buahan,"fruit orchard, fruit garden",n,,,,
rupuk,,cucian,"laundry, washed clothes",n,,,,
ruraatn,,hidang makanan yang dihidangkan di tengah rumah dipasang secara berderet memanjang dalam rumah atau luuq,"food served in the middle of the house, arranged in a long row inside the house or luuq",n,,,,
rurakng,,juring; ulas; pangsa,"segment, section, portion (of fruit)",n,,,,
ruratn,,jalan yang dilewati binatang,"animal trail, path used by animals",n,,,,
ruretn,,jalan binatang (babi),"pig trail, hog path",n,,,,
rusak,,rusak,"damaged, broken, ruined",a,Apuut nagaakng jooq rusak.,,,
rusau,,ganas,"fierce, savage, brutal",a,,,,
rusek,,rengkah,"cracked, splintered",a,,,,
rusek,,gigis; menggigil,"shivering, trembling, chattering teeth",v,,,,
ruwai,,hubungan kekeluargaan yang sama-sama memikah dengan adik atau kakak dari keluarga yang dinikahi,kinship relationship where both are related to the sibling of the married family,n,,,,
ruyaq,,akesesori,"accessory, accessories",n,,,,
ruyip,,(sangat) perhitungan,"(very) calculative, meticulous, strategic",a,,,,
sa,,tebasan yang tidak jadi dibuat ladang,a cleared area that was not turned into a field,n,,,,
sabe,,sambal,chili sauce,n,sabe tenahan uhaaq namak,sanbel dibuat oleh namak,chili sauce was made by mother,
sabeq,,cabai,"chill, chili pepper",n,sabeq empulu perakng was,cabai burung pedas sekali,bird's eye chili is very spicy,
sabeq ajaaq,,cabai besar,"large chili, big chili",n,,,,
sabeq bohokng,,cabai merah,red chili,n,sabeq bohokng dang sabeq putii,cabe merah dan cabe putih,redi chili and white chili,
sabeq itit,,cabai kecil,"small chili, bird's eye chili",n,,,,
sabeq nahum,,cabai hijau,green chili,n,,,,
sabeq permaq,,cabai merah,red chili,n,,,,
sabeq putiq,,cabai putih,white chili,n,,,,
Sabtu,,Sabtu,Saturday,n,,,,
sagai,,isterinya,his/her wife,n,,,,
sagakng,,istri,wife,n,,,,
sagapm,,istrimu,your wife,n,,,,
sagaq,,"nikah, kawin",marry/get married,n,,,,
sagaq,,istri,wife,n,akui nemeq sagaq kaat meliq sadal jepit,saya bawa istri pergi membeli sandal jepit,I took my wife to buy flip-flops,
sagatn,,isterimu,your wife,n,tabeq eteqnya sagatn koi,"maaf, dari mana suamimu","excuse me, where is your husband from?",
sagut,,daun yang dipasang sebagai umpan dan dimakan oleh kancil atau kijang,leaves used as bait and eaten by mouse deer or muntjac,n,,,,
sah,,dia,he/she,pron,,,,
sahau,,boros,"wasteful, extravagant",a,,,,
sakaq angaq,,jempol tangan,thumb,n,,,,
sakaq unekng,,jempol kaki,"big toe, toe",n,,,,
sakatn,,ayam hutan,"jungle fowl, wild chicken",n,,,,
sala,,"sangkar, sarang","cage, nest",n,,,,
salai,,sarang,"nest, hive",n,,,,
salatn,,salah,"wong, mistaken",a,,,,
saliq,,marah dipendam; kesal; jengkel,"suppressed anger, annoyed, irritated",a,,,,
salukng,,tamu,guest,n,salukng eraq soq dai moot,tamu mereka sudah datang semua,all their guests have already arrived,
samakng,,pangkat,"rank, position",n,,,,
samakng sawit,,kalung,necklace,n,,,,
saman,,sesama; keluarga ,"fellow; family, kin",n,eraq bekepentai samaan eraq,mereka saling bertanya sesama mereka,they ask each other,
samaq,,mirip; sama,"similar, alike, same",a,"eraq joq senaiq, tapi umakngke heq samaq kelin pun","mereka itu bersaudara kandung, tetapi wajahnya tidak mirip sama sekali","they are siblings, but their faces don't look alike at all",
samat,,nazar,"vow, religious pledge",n,,,,
samer,,sambil,"while,  at the same time as",p,kamin calatn-calatn ji umaq samer meriwih,kami jalan-jalan ke ladang sambil mancing,we strolled to the field while fishing,
sampir,,menyampirkan,"drape over, hang over, sling over",v,,,,
samukng,,sambung,"connect, continue, join",v,,,,
sanaq,,kira; sangka; duga,"guess, estimate, suppose",v,,,,
sanaq,,(ber)niat,"intend, purpose, will",v,akuq bak sanaq ewah awaak saq joq,saya berniat membantu dia itu,I intend to help him/her,
saner,,nyambi,"do as a side job, earn extra, side work",v,,,,
sangaq,,jaring (ikan),fishing net,n,,,,
sangar,,pisang goreng,fried banana,n,,,,
sangat,,peraut rotan,"rattan splitter, rattan peeler",n,,,,
sanget,,besan,in-law (relation by marriage),n,,,,
sanget,,sangat,"so, very",adv,"isaq sanget mirip maq ke, tiah pinang dibelah dua","dia sangat mirip dengan ibunya, seperti pinang dibelah dua",she is so identical with her mother. like mother like daugther,
sanget,,ipar,"brother-in-law, sister-in-law",n,,,,
sangit,,pengait pada mata pancing atau trisula agar sasaran tidak terlepas,hook on a fishing hook or trident to keep the catch from escaping,n,,,,
sangkaq,,kayu penahan,"support beam, brace, wooden prop",n,,,,
sangkar,,tendangan,kick,v,,,,
sangkekng,,tempat mengait yang dipasang diboyokng,hooking place installed on the boyokng,n,,,,
sangkoh,,sangkur,"saddle, animal harness",n,,,,
sangku,,baskom besar,"large basin, big bowl",n,,,,
sangkukng,,badan (penyu),body (of a turtle),n,,,,
sangkur,,cangkul,hoe,n,,,,
sangkut,,tersangkut,get caught,v,sapai tungkan aap tisiq sion sangkut paku,baju kakakku sobek karena tersangkut paku,my sister's clothes were torn because they got caught on a nail.,
sanguq,,sangu,"allowance, provision (usually in the form of money)",n,,,,
sanik,,terang (mata),"bright-eyed, wide-awake",a,,,,
santap,,menyantap; mencicipi sedikit agar tidak terkena musibah.,"take a small taste, sample a little to avoid misfortune",v,,,,
sao,,siuman,"conscious, awake",a,,,,
sapai,,baju,"shirt, clothing",n,koi kitetn daraaq uwas aman pakai sapai bohokng joq,kamu terlihat cantik bila memakai baju merah itu,you look beautiful  if you wear that red dress,
sapai isai,,baju baru,new shirt,n,,,,
sapai putiq,,baju putih,white shirt,n,elaau sapai putiq dang seloar nooq,cari baju putih sama celana panjang,look for a white shirt and long pants,
sapaq,,nazar,"vow, religious pledge",n,,,,
sapau,,atap,roof,n,dapeeq si Umar ginaq temasang sapau,rumah si Umar belum dipasangi atap,Umar’s house hasn’t been roofed yet,
sapei,,baju,"shirt, clothing",n,,,,
sapeu jemiaq,,atap rumbia,"rumbia thatch roof, sago palm leaf roof",n,,,,
sapeu pegakng,,atap ilalang,"grass thatch roof, reed roof",n,,,,
sapeu seng,,atap seng,metal roof,n,,,,
sapi,,sapi,cow,n,sapi jook nyeruduk ulutn jook,sapi itu menyeruduk orang,the cow charged at the person,
sapikng,,babi hutan,wild boar,n,,,,
saq,,saja,just,adv,nebeq saq beekng loneeq,buang saja barang bekas begini,just throw away these used items,
saq,,dia,"she, he, it",pron,saq nyi kat je pekan,dia tadi pergi ke pasar,he just went to the market ,
sarak,,cerai,"divorce, separate",v,,,,
sarang,,pembicaraan,"conversation, talk, discussion",n,,,,
sarang subatn,,pembicaraan pada tingkat pengurus adat ,"discussion at the level of customary leaders, traditional council discussion",n,,,,
sarap,,enau; aren; Arenga pinnata,sugar palm,n,mamih lebi cihun sarap tih,manis betul air aren,the sap of the aren palm is really sweet,
saroq,,selingkuhan; pacar,"Lover, affair partner",n,,,,
sarotn,,pacar (selingkuhan),"Lover, affair partner",n,,,,
sarukng,,sarung,sarong,n,,,,
sarukng edoq,,sarung parang,machete sheath,n,,,,
saukng,,beradu; adu; menyabung,"compete, clash, fight",v,,,,
saukng manuk,,adu ayam ,cockfight,n,,,,
sawakng,,sepuluh,ten,num,,,,
sawaq,,sarang madu,"honeycomb, beehive",n,,,,
sawar,,makanan ayam,chicken food,n,,,,
sawatn,,ketakutan,scared,n,tuhiq itit sawatn tengelisuq kokoq,anak kecil ini ketakutan dikejar anjing,this little child is scared of being chased by a dog,
sawi,,sawi,"mustard greens, chinese cabbage",n,,,,
sawikng,,gadung,"arrowroot, Dioscorea hispida",n,,,,
sawoi,,bubur,"porridge, rice porridge",n,,,,
sayau,,manusia jadi-jadian,"shapeshifter, human-like creature",n,,,,
sebamur,,berhamburan,"scatter, flee in all directions ",v,,,,
sebana,,lambat untuk naik kendaraan,"slow to get on the vehicle, hesitant to board",a,,,,
sebanah,,alon-alon; perlahan-lahan,slowly,adv,eraq tuhiq neeq bemotor heeq bi togaq sebanah.,anak-anak itu naik motor tidak bisa jalan pelan-pelan.,those children riding the motorcycle can’t go slowly,
sebelas,,sebelas,eleven,num,,,,
sebit,,sebilah,"a blade, a piece (of something long and thin)",n,,,,
sebuhatn,,sekeluarga atau segolongan,a family or a group,n,,,,
secangkoq,,satu wajan; masih sekeluarga,one cooking pan; still for the whole family,n,,,,
secarik celaq,,akar lidah,tongue root,n,tiap mersiaq baq secarik celaq ke,setiap manusia ada akar lidahnya,every person has a tongue root,
sedengkar,,bergetar,"vibrate, tremble, shake",v,,,,
sediriq,,sesajen,"offering, ritual offering",n,,,,
seditn,,kena bilah kayu dikaki atau ditangan,hit by a piece of wood on the foot or hand,v,,,,
seduk,,tersundul,"bumped, knocked",v,,,,
seer,,"sejenis burung berjenis burung pipit, tinggal di lubang pohon benggeris","a type of bird, similar to a sparrow, that lives in holes of benggeris trees",n,,,,
segalaq ramaq,,masyarakat,"community, people of",n,segalaq ramaq kampukng begukng tangkap kae ngaq umaq taotn,masyarakat kampung bigung pekerjaanya bertani,the people of Bigung village work as farmers,
segantiq,,bergantian,alternately,adv,,,,
segayah,,pelan-pelan; hati-hati,slowly,a,Calaatn neeq ngaq segayah!,Jalan pelan-pelan saja!,"walk slowly, take it slow",
segimar dapeeq,,tetangga,neighbor,n,baq acara nikah dianyant kamiq segimar dapeeq,ada acara pernikahan di rumah tetangga,there is a wedding ceremony at the neighbor’s house,
seginaq,,sebelum,before,p,seginaq muliq pak guru pekingat kamiq mai kami dilaw nemeq tanaman uwat,sebelum pulang pak guru mengingatkan kami agar kami besok membawa tanaman obat-obatan,"before going home, the teacher reminded us to bring medicinal plants tomorrow.",
seginaq,,sebelum,before,adv,"seginaq kuman kamiq berdoa alih, kamiq kuman dang lahap","sebelum makan kami berdoa dulu, kami makan dengan lahap",before eating we pray first so that we eat well,
sejojokng,,satu ayunan,one swing,,,,,
sejuta,,sejuta,one million,num,,,,
sekak,,ketulangan; tertahan ditenggorokan,"choking, stuck in the throat",v,wat jo ajaq was sekak tuhi itit,obat itu besar sekali sehingga tertahan di tenggorokan anak kecil,the pill is so big that it got stuck in the child’s throat,
sekelep,,segala,all,num,dang latala tih sooq pejadi tanaq langit sekelep isi dunia tih,,,
sekepakng,,sepemelukan,"a hug, embrace",num,,,,
seketaq,,ngawur,"careless, reckless ",a,,,,
sekilatn,,satu kilan (jengkal),one span,num,,,,
sekong,,bagian ruangan,"part of a room, section of a room",n,,,,
sekongaq,,per orang; sendiri,per person,n,pahagiq telo manuk jooq tusan sular sekongaq!,bagi telur ayam itu satu butir per orang,"divide the chicken eggs, one egg per person",
sekot,,lipatan siku bagian dalam,inner elbow crease,n,,,,
seku,,nok,ridge (roof ridge),n,,,,
sekuatn,,tempat gulungan benang,"thread spool, spool holder",n,,,,
selagiq,,selagi,"while, as long as, during",adv,,,,
selakau,,alat penangkap burung yang dipasang di atas sarang burung yang terbuat dari rotan dan dipasang jerat,a bird trap placed above a rattan bird’s nest with a snare attached,n,Aji ngenaaq selakau diq sala punai,Aji memasang perangkap di sarang burung punai,Aji sets a trap on the spotted dove’s nest,
selakng,,asesoris laki - laki dayak yang terbuat dari tulang dipasang di lengan,"Dayak male accessory made of bone, worn on the arm",n,,,,
selalak,,melawan arus,"against the current, upstream",v,,,,
selaman,,sembelit,constipation,n,,,,
selaman,,selagi,"while, as long as, during",adv,,,,
selangkas,,satu langkah,one step,num,,,,
Selasa,,Selasa,Tuesday,n,,,,
selatn,,salah,wrong,a, sebab nersiaq sooq baq penyelatn,sebab manusia sudah ada kesalahan,because hunans make mistakes,
selatn,,"tidak kena, lepas","missed, sscaped",v,,,,
selebenatn,,murai batu,white-rumped shama,n,,,,
selebinti,,burung sungai,"kingfisher, river bird",n,,,,
selebo,,bongsor,"large, big, stout",a,selebo was tuhiq jooq,bongsor betul anak itu,that child is really big,
selegompekng,,menggelantung,"hanging, dangling",v,,,,
seleguncei,,bergerak (tiba-tiba),"move suddenly, startle",v,,,,
selemur,,gembur,"loosened, soft, crumbly",a,,,,
seleng,,dihabiskan semuanya,"consumed entirely, finished completely",v,,,,
selengaq,,tiba-tiba berubah,"suddenly change, transform abruptly",v,,,,
selentuekng,,berayun-ayun,"swinging, swaying",v,,,,
selepa,,tempat rokok,"cigarette holder, ashtray",n,,,,
selepiq,,bungkusan,"package, bundle, parcel",n,,,,
selepukng,,gong paling besar,"the largest gong, great gong",n,,,,
seler,,merambat,"climb, crawl, spread (for vines)",v,,,,
selewakur,,terlilit akar,"entangled in roots, twisted around roots",v,,,,
seligiq,,bambu runcing,"pointed bamboo, sharpened bamboo",n,,,,
selikng,,nyeri,"pain, ache, sore",a,tukuut kayoq selikng sion rematik,lutut saya nyeri karena rematik,my knee aches because of rheumatism,
seliku,,dua puluh satu,twenty one,num,,,,
selinukng,,terlindung; tidak tampak,"hidden, sheltered, not visible",a,,,,
seloar,,celana,"pants, trousers",n,pore was seloar nooq baq kantong,"bagus sekali itu celana panjang, ada kantongnya",those long pants are really nice; they have pockets,
seloar idok,,celana pendek,shorts,n,pejai was seloaar idok aneh,jelek sekali celana pendek itu,those shorts are really ugly,
seloar noq,,celana panjang,long pants,n,elaau sapai putiq dang seloar noq,cari baju putih sama celana panjang,look for a white shirt and long pants,
seloko,,perisai; tameng,shield,n,,,,
selooq,,tempat menyimpan anak sumpit,chopstick holder,n,,,,
seloq,,keseleo,"sprain, twisted (e.g., ankle)",n,,,,
selosen,,selusin,dozen,n,,,,
seluakng,,seluang,seluang fish (Rasbora spp),n,,,,
selui,,aliran air,"water flow, current",n,,,,
selukng,,selesai,"finished, done, completed",v,,,,
selukng sudaq,,pekerjaan yang tuntas dikerjakan; selesai sudah ,"completed work, finished task",n,,,,
semah,,menyisih,"move aside, step aside, make way",v,,,,
semangka,,semangka,watermelon,n,,,,
sematakng,,sungai induk yang banyak sungai yang lain bermuara ke situ,"main river into which many other rivers flow, tributary river system",n,,,,
semau,,memerah; merah padam,"reddish, bright red",n,,,,
semayap,,kapulasan,,,,,,
semegaq,,jerawat,acne,n,,,,
semek,,influenza,influenza,n,,,,
semekng,,lapar,hungry,a,,,,
semengong,,satu mangkok,one bowl,n,,,,
sementahir,,mustahil,impossible,a,,,,
semit,,tepat,"exact, accurate, correct",a,,,,
semoq,,kolong,"underside, hollow, space beneath",n,baq regaq tompok hojaatn dina semoq dapeeq ke,ada dua tumpukan durian di bawah kolong rumahnya,here are two piles of durians under the house’s floor space,
sempa,,menyirih,chew betel,v,,,,
sempaduq,,berunding,"negotiate, consult",v,,,,
sempak,,celana dalam,"underwear, underpants",n,,,,
sempar,,rata dengan tanah,"leveled with the ground, flattened",adv,,,,
sempat,,betete,,,,,,
sempawat,,gotong royong,"mutual cooperation, community work",v,,,,
sempayatn,,balok tarik,"pulling beam, tugging log",n,,,,
sempayeng,,sembahyang,"pray, prayer ",v,,,,
sempekat,,solidaritas; persatuan,"solidarity, unity",n,taai belupm diraq baq sempekat dang samaan,kita hidup harus ada solidaritas dengan sesama,"in life, we must have solidarity with one another",
sempekat sempawat,,perkumpulan yang saling membantu ,"an association that helps each other, mutual aid society",n,,,,
sempeket,,gotong royong,"mutual cooperation, community work",v,,,,
sempelupm,,kawin,"marry, get married",v,garikng sempelupm dang ulutn Bugih,adikku kawin dengan orang Bugis,my younger sibling married a Bugis person,
sempirakng,,linggis,crowbar,n,,,,
sempoi,,kebas; nyeri,"numb, sore, tingling and painful",a,,,,
sempotuq,,bambu dipanaskan,"heated bamboo, bamboo that is heated",n,,,,
sempuak,,mata air,"spring, water spring",n,,,,
sempuatn,,kubangan,puddle,n,,,,
sempuut,,sumpit,"blowpipe, blowgun",n,,,,
senuk,penyenuk,kasih,love,n,supaya taai mengerti penyenuk latala ke taai,supaya kita mengerti kasih Allah kepada kita,so that we understand God's love for us,
semuq,,senyum,smile,n,,,,
semur,,kelaparan,hunger,n,,,,
sen,,uang,money,n,Nyimaai alih sen kooq tih!,Tukar dulu uang saya ini!,"Please ,exchange my money first!",
senaiq,,saudara kandung; saudara,siblings,n,"eraq joq senaiq, tapi umakngke heq samaq kelin pun","mereka itu saudara kandung, tetapi wajahnya tidak mirip sama sekali","they are siblings, but their faces don't look alike at all",
senaiq,senaiq kokoq,saudara seibu lain ayah,"maternal half-sibling (same mother, different father)",n,,,,
senaiq,senaiq papat,saudara tiri,"step-sibling, half-sibling",n,,,,
senaiq,senaiq puhiq,saudara angkat,adopted sibling,n,,,,
senaiq,senaiq senging,saudara seayah lain ibu,"paternal half-sibling (same father, different mother)",n,,,,
senama,,ketombe,dandruff,n,,,,
senapang,,senapan,"rifle, gun, shotgun",n,,,,
senapeu,,diatapi,"thatched, roofed ",v,,,,
senau,,seharian,all day,n,naiq kamiq mulai periiq sion senau calatn pelau lowongan kerjaq,perut kami mulai lapar karena seharian berjalan mencari lowongan kerja,our stomachs were starting to feel hungry because we had been walking all day looking for job vacancies.,
senayukng,,pakaian orang pada saat masih mengayau ,clothing worn during headhunting times,n,,,,
sencaratn,,alat penyaring air madu,"honey strainer, honey filter",n,,,,
sencelano,,puyuh,quail,n,,,,
senciotn,,disebabkan,"caused, due to",v,,,,
sencolar,,anak kecil baru belajar nerangkak,a baby just learning to crawl,n,,,,
Sendawar,,ibukota Kabupaten Kutai Barat,the capital of West Kutai Regency,n,,,,
senelalak,,melawan arus,against the current,v,,,,
senempeleh,,disembelih,"sacrificed, slaughtered",v,,,,
senen,,Senin,Monday,n,,,,
sengaih,,bertengkar; bercekcok,"quarrel, argue, fight",v,,,,
sengayo,,berebutan,"scramble, compete for, jostle",v,,,,
senging,,bujur,"lengthwise, longitudinal",n,,,,
sengkalah,,balapan,"race, racing",n,,,,
sengkalau,,famili burung babi berparuh putih,"family of white-billed pheasants, white-billed birds",n,,,,
sengkatip,,terjepit,"pinched, trapped, stuck",v,,,,
sengkegat,,tali pelilit untuk panjat pohon,"rope wrap for climbing trees,  climbing rope",n,,,,
sengkekeheu,,baku suka; saling menyukai,"mutually fond, like each other, mutual affection",v,,,,
sengkenai,,bersetuju; bersepakat,"agree, consent, reach an agreement",v,,,,
sengkepak,,sebelah-menyebelah,"side by side, adjacent, next to each other",v,,,,
sengkereaq,,cikal bakal orang Rentenukng,"ancestor, forebear of the Rentenukng people",n,,,,
sengkerotoi,,berdekatan,"close together, nearby, adjacent",v,Dapeeq eraq jooq sengkerotoi.,Rumah mereka itu berdekatan.,their houses are close to each other,
sengkeruak,,sejenis burung hantu berkaki panjang hidup dirawa memakan ikan hidup,a type of long-legged owl that lives in the swamp and eats live fish,n,,,,
sengket,,naik,"go up, ascend",v,sengket kecatn,naik tangga,go up the stairs,
sengketn,,melekat; sangkut; tertahan (saat jatuh),"stuck,  caught, hung (when falling)",v,,,,
sengkoet,,jenis burung bulu hitam di pinggang putih dan kelihatan agak jinak,"a bird species with black feathers and a white waist, appearing somewhat tame",n,,,,
sengkokot,,menangkap ikan di sela batu dan akar pohon yang di pinggir sungai,catching fish in the gaps between rocks and tree roots by the rivank,v,,,,
sengkolekng,,kayu tempat duduk,"bench, wooden seat, seating wood",n,,,,
sengkorok,,jangkrik; cengkerik; teleogryllus nitratus,cricket,n,,,,
sengkoyakng,,alat penangkap ikan berbentuk jaring dan bila digunakan dipegang orang lalu ada orang lain yang mengarahkan ikan ke dalamnya,"a fishing tool in the form of a net, held by one person while another directs the fish into it",n,,,,
sengkukup,,bebatan (obat),"traditional medicine, herbal remedy, poultice",n,,,,
sengkukur,,tekukur,"zebra dove, small dove",n,,,,
sengo,,asma,asthma,n,,,,
senkabai,,mentang-mentang,"just because, taking advantage, on account of",adv,,,,
senoq,,kolong,"underside, hollow, space beneath",n,,,,
sensiau,,cerai-berai,"scattered, dispersed, disorganized",v,,,,
sensiket,,kunang-kunang,"firefly, lightning bug",n,,,,
sensimai,,bertukar,"exchange, swap",v,,,,
sensorok,,pedalaman,"remote area, hinterland",n,,,,
sentagir,,tempat pegangan di pohon,"handhold on a tree, tree grip",n,,,,
sentahat,,bebat,"poultice, herbal medicine, traditional remedy",n,,,,
sentakaq,,seperti,"like, similar to, such as",a,,,,
sentanan,,tanda,"sign, mark, symbol",n,aduui likut ngaq baq sentanan diq encakng atih,jangan lupa memberi tanda di persimpangan nanti,Don’t forget to put a sign at the intersection later,
sentanir ulcer,,pasak bumi; Eurycoma longifolia,"Tongkat Ali, longjack",n,,,,
sentaretn,,papan tempat melahirkan,"birthing board, childbirth board",n,,,,
sentarik,,jemuran pakaian,"clothesline, drying rack",n,,,,
sentaro,,puisi; pantun,"poem, pantun (traditional Malay quatrain)",n,,,,
sentebar,,menyebar,"spread, scatter, distribute",v,,,,
sentineng,,mencari ikan,"fishing, looking for fish",v,,,,
sentitir,,sedikit,"a little, few, slight",a,,,,
sentueu,,remeh-temeh,"trivial, insignificant, unimportant",a,,,,
sentukar,,alat menebang kayu besar dibuat seperti tangga ,"a tool for felling large trees, made like a ladder",n,,,,
sentukng,,jeroan,"offal, internal organs",n,,,,
sentumar,,bersepupu,cousin,n,,,,
sentungar,,semut besar yang bertaring badannya berwana merah ,"large red-bodied ant with mandibles, red ant with large jaws",n,,,,
senturuk,,puncak (pohon),"tree top, canopy, crown of the tree",n,,,,
sentutuk,,menanam padi (berdua),planting rice (together/in pairs),v,,,,
senuk,,kasihan,what a pity,,senuk tuhi aneh pehatuuq selukng,kasihan anak itu yatim piatu,"what a pity, that child is an orphan",
senur,,berhari-hari tidak makan; kelaparan,hungry,n,saq jooq senur teq nau muhing,dia sudah kelaparan dari kemarin,he/she has been hungry since yesterday,
seok,,menyasar (peluru),,,,,,
seor,,mengesot; mengisut,,,,,,
sepak,,main bola,,,,,,
separ,,batas ladang,boundary of field,n,Aduui ujah ngesok ogeq separ neeq,Jangan menggeser atau memindahkan batas ladang ini,do not move or shift the boundary of this field,
sepeda tanyak,,sepeda,bicycle,n,,,,
sepek jelooq,,sisir pisang,bunch of bananas,n,,,,
sepekng,,pipi,cheek,n,,,,
sepele,,gampang; mudah,easy,a,,,,
sepengewah,,sesuka,"as one wishes,  at will",v,,,,
seper,,batas bersebelahan,"adjacent boundary, neighboring border",n,,,,
seper,,bui; sel,"prison, cell",n,,,,
sepiq,,diam; hening,"silent, quiet",a,sepiq lebi ohai baaq genoh ulutn libas,"hening betul, tidak ada suara orang lewat",it’s completely silent; there’s no sound of anyone passing by,
sepiq seniap,,"sunyi, sepi","silent, quiet",a,,,,
sepooi,,trompet tukang belian digunakan untuk memulai upacara pemujaan belian dan memanggil roh yang terbuat dari taring beruang atau macan,"the shaman’s trumpet is used to start the Belian worship ceremony and to summon spirits, made from bear or tiger fangs",n,,,,
sepotn,,pinang,areca nut,n,,,,
sepuluh,,sepuluh,ten,num,,,,
sepung,,alat memanggil punai tanah,tool for calling ground doves,n,,,,
sepuq,,bungsu,"youngest child, youngest sibling",n,,,,
serabai,,serabi,serabi (traditional pancake),n,,,,
seraga,,"alat penangkap payau, kijang terbuat dari bambu ditancap ditanah","a bamboo trap for catching deer or fish, stuck into the ground",n,,,,
serai,,serai,lemongrass,n,,,,
serakakng,,sejenis lebah tapi badannya kecil dan berwarna hitam tinggal di didalam lobang kayu yang mati,a type of small black bee that lives in a hollow of dead wood,n,,,,
serakng,,serang,attack,v,,,,
seramiq,,serambi samping,"side veranda, side porch",n,,,,
serarak,,piring berisi beras,"plate of rice, dish with rice",n,,,,
serati,,mentok,"duck, muscovy duck",n,,,,
serau,,api menjalar keluar lahan yang dibakar,the fire spreads beyond the burned area,n,,,,
serdaduq,,tentara,soldier,n,eraq serdaduuq jooq daai lengih ngkat temak,para tentara itu semuanya memegang bedil,all the soldiers are holding rifles,
serempolupm,,patah tulang (pohon); Euphorbia tirucalli,"pencil tree, milk bush",n,,,,
serengkuat,,roboh (tercabut akar),"fallen, uprooted",a,,,,
serenpai,,tombak ikan bermata berkait,"barbed fishing spear, fish spear with barbed tip",n,,,,
serenpu,,"terinjak,terkena ulat bulu","stepped on, stung by a caterpillar",v,,,,
serentaya,,merah jingga,"orange-red, reddish-orange",n,,,,
serentupiq,,termimpi-mimpi,"dreaming, having dreams",v,,,,
serenuhiq,,memanaskan badan (misalnya di bawah matahari),"warming the body (e.g., under the sun), sunbathing",v,,,,
serepaq,,satu depa,"one fathom, one arm’s length",num,,,,
sereratn,,tenggeran burung nuri,parrot perch,n,,,,
seret,,ceret,"teapot, kettle",n,,,,
seretn,,sakit hati,"hurt feelings, heartache",a,,,,
seriak,,teriak,shout,v,baq genoh uluunt seriak,ada suara orang teriak,there is the sound of someone shouting,
seriakng,,ranjau,"landmine, trap",n,,,,
seribuq,,seribu,a thousand,num,,,,
seridoh serodih,,anak - anak berlari ke sana ke mari ,the children are running here and there,,,,,
serinuq,,rindu,miss,v,,,,
seripai,,di sebelah,"next to, beside",adv,,,,
seritaq,,cerita,story,n,,,,
serkap,,alat untuk menangkap ikan atau udang,tool for catching fish or shrimp; fishing gear,,,,,
sermin,,cermin,mirror,n,,,,
serogong,,serambi,"veranda, porch",n,,,,
serok,,susah; menderita,"difficult, suffer",a,ninin kae serok temengkahatn,menantunya susah diatur,the son/daughter-in-law is difficult to manage,
seropong,,alat untuk meniup api didapur terbuat dari bambu ,"bamboo blower, bamboo bellows for the kitchen fire",n,,,,
serorokng,,pelita; damar,resin,n,,,,
seroyoq,,berteman,befriend,v,eraq seroyoq eteq itiit,mereka berteman sejak kecil,they have been friends since childhood,
serpekng,,tombak trisula,"trident spear, trident",n,,,,
seruhatn,,kurir,"courier, messenger",n,,,,
seruhetn,,memberitahukan,to inform,v,,,,
serunai,,serunai,"oboe, traditional reed instrument",n,,,,
serungkat,,pohon yang tumbang karena tidak kokoh tumbuhnya ,"a tree that has fallen due to weak growth,  uprooted tree",n,,,,
serunukng,,mencari rambutan,"looking for rambutans, harvesting rambutans",v,,,,
seruq,,matang tidak rata,"unevenly ripe, not evenly matured",a,,,,
sesap,,patah (tunas),broken (shoot/sprout),a,,,,
seseleh,,enak; gurih,"delicious, tasty, savory",a,,,,
sesemuq,,tersenyum,smile,v,,,,
sesigak,,isak,"sob, sobbing, crying",v,,,,
sesikuq,,satu siku,"one cubit, one forearm’s length",num,,,,
setiah,,mirip,"similar, resembling, alike",a,,,,
setiatn,,sembilan,nine,num,,,,
setier,,berusaha,try,v,,,,
setietn,,sembilan,nine,num,,,,
setikaq,,langsung,immediately,adv,kabatn kahe togaq setikaq kayaq,anak-anak tidak bisa langsung kaya,children cannot become rich immediately,
setui,,landak,hedgehog,n,,,,
sewalekng,,tidak menurut,"disobedient, defiant",a,,,,
sewet,,abaka; Musa textilis,abaca,n,,,,
